date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Ownership of dwellings,Total,Total less mining,Total less mi and ag
2010-06-01,75.4304913901722,82.556283191607207,40.666259635198045,64.11214953271028,50.406624279166046,28.46895487851909,31.424836601307188,36.92379507527133,43.327049340180714,66.38616608100611,63.27619047619047,50.47357926221336,26.204448651206814,16.947115384615387,16.538417365338233,13.04825269685421,16.24165586130721,42.44124868467205,25.89347079037801,92.20992060601645,47.133030043295754,43.35543093803637,42.53912944336964
2010-09-01,75.89978379753275,82.78701355624433,39.53215459239556,66.28460207612457,47.03876800490347,33.00234450420631,33.14971838831467,35.11807341594576,44.13325660208453,63.66808109382367,62.370364700929926,50.11609434192839,22.49199445586197,19.778847868735507,16.48757746318722,12.76973851231277,15.674492267561021,38.68027706890266,26.8815445026178,92.16611439273879,46.68711106439677,42.73199377096639,41.812637701595136
2010-12-01,76.25,82.65082650826508,38.6624625326015,66.83498066179631,45.706434623311196,36.504640145369585,30.386811213034832,35.07212925562608,45.295026258881684,65.7004371792435,61.99186991869918,51.48855414541573,22.626355873528734,23.7595499958022,16.249722036913496,12.32095244000744,14.791334093500568,37.56926486885852,29.45638432364096,92.16233626798368,46.82038247397725,42.80103787014508,41.87558577470975
2011-03-01,77.3729513029124,80.12083993660856,37.20163316582914,61.33505320864238,46.034411973276605,32.5811289882738,29.696582561481954,34.65765972063201,44.60934625291304,63.251924356172196,62.55752179280931,50.344577439245555,29.598798018354582,17.152160520989177,16.105154302509117,12.039297046619478,14.16790590780046,41.25874125874126,30.18440145102781,92.0697551523692,45.9133227482679,42.485508972526596,41.478342268743084
2011-06-01,77.1475835991965,81.60554267227805,38.288220172387724,60.419755902817386,45.768649286478116,34.9112426035503,30.71808510638298,33.75924680564896,48.34104723136118,64.46613088404133,63.12836790433306,52.41852487135507,26.667500938555875,16.958207669108145,16.13959731543624,12.313545503955552,14.235850307073742,41.90857524190857,29.32677986297289,92.11962152082326,46.61284763801836,42.63741124659704,41.66059065520586
2011-09-01,77.23970944309927,80.84981562185719,35.989431765967225,66.40708653752554,47.73360867320599,36.318470536444245,32.68101761252446,35.03538377789875,46.174785912777175,63.149457802923145,62.97288491474497,54.91254588641762,25.983860955927994,12.154942119323241,16.091528827352956,13.010113027959546,15.147523709167546,44.10895963242534,35.701646930720024,92.12934921596339,47.02603290467908,43.18131299338867,42.2167508596171
2011-12-01,76.75763182238667,79.17967519262166,37.44418375841973,65.61755361397935,46.95208970438328,32.76441515650742,32.90712542136464,35.28070365946357,44.836925854869655,61.62901990811639,63.11448366875618,56.50986980260395,26.91598524931858,17.660438667749798,16.181789589558107,13.34964492450916,15.332656394861155,44.28387925497752,30.024213075060537,92.04571654425084,46.72288417981279,43.152840656692156,42.2116135133647
2012-03-01,75.59358804387128,75.79117504444804,35.8129243915465,64.68521507928972,45.31797359202371,35.89019222501996,33.11345646437995,37.85322648671446,44.503171247357294,62.73641479841314,62.342123152885605,57.09197569662686,21.37181095775826,18.79544736010117,16.001024065540197,12.74941995359629,16.003270364473515,42.675159235668794,23.23512252042007,92.01491327605771,45.46410571848089,42.54919201742421,41.674799237133
2012-06-01,76.61737523105361,75.51190438042747,35.19345532150338,65.3644592663173,45.38773866648771,33.2467696985052,32.904240447343895,36.24637213801999,44.30050438014335,60.023888276368986,64.31268203228939,56.832781779248585,27.927927927927925,8.808510638297873,15.905313523042055,12.5,15.887968375457337,40.6578501186843,28.00561797752809,91.94693392438406,45.44024139318999,42.54437395082453,41.60928067772536
2012-09-01,76.82492240487412,72.50280583613917,36.53036919412465,57.510950785879935,45.40190401413289,36.10065996422624,31.60162937599622,35.798109876415,45.6850082724022,62.223879205890576,65.286758504357607,56.14778325123153,27.43307578240849,17.150210575573233,16.136559630700553,11.7918010133579,16.313186352586133,41.92037470725995,27.08395134974785,91.93807231190408,45.43242682632851,43.00093783125758,42.077564239358296
2012-12-01,76.7444533854466,71.52792715279271,34.88428255182129,58.53844201979194,45.188885623796,33.57299155986246,32.976725658680934,37.18026796589525,45.738333688472196,61.37004322495771,65.02056202878684,54.800077264825184,27.914700886959803,12.132572207548778,16.05681875219595,11.320437342304457,16.844123526292172,43.697205977907736,27.45270567531896,91.9844840961986,45.164510361664206,42.94783104093758,42.037765051849554
2013-03-01,76.96983340837461,72.50731640917444,35.43338364979741,59.00594366439831,45.49507649870097,35.3680210823068,32.12405584802014,34.64916922425654,46.0734642178594,61.92827200745226,63.96772208165219,55.533503449579435,26.769537847382157,13.179880647911338,16.220409388919474,11.334305914038827,16.281135198417505,42.665323934206114,30.677618069815193,92.02349432423385,45.37027593943721,42.97848601275903,42.04796519241851
2013-06-01,77.2837332159366,74.88130373412037,35.086373910235714,57.6356418173798,46.25584781733122,35.21440616718863,33.121054380330044,34.90073145245559,46.30655103959879,61.22879413113252,64.06383196371944,54.33397683397684,27.085939573145307,7.914438502673797,16.309842402616713,11.2722660343021,16.88109317564328,43.784131063283006,27.570289550986153,92.00538358008076,45.56130188376077,42.84132742493728,41.88411692915674
2013-09-01,77.03801362337947,75.28055900057473,37.14777035213194,60.63297688858227,46.324993776450086,28.388142345870754,31.471994535519126,35.070744902205575,44.72490527776296,61.42684401451027,64.99507355689192,55.71185800604229,23.937937233751512,13.252419222568475,16.48076261608766,11.548085291557877,16.326449720559673,44.70018170805572,27.054564955087812,91.76539935160625,45.499648907818646,42.56767622621281,41.60728278969537
2013-12-01,76.56439019025623,76.35854341736695,35.204204445157664,59.29987717143359,46.478830057945245,38.70873842929499,32.37235543018336,29.265693275071943,44.70795139629077,61.07500928332714,63.92622486075443,56.45776566757493,25.714068960285246,11.002464424835043,16.50240326261106,11.63640270763941,16.09676668992789,41.42538975501114,25.924907165451792,91.70299289078729,45.73469871243721,42.69566591369281,41.769899267426794
2014-03-01,74.9131341209173,76.09092225278702,33.54787808321568,59.108493054334446,45.6973836677441,34.5940902021773,32.465909090909086,31.217038539553755,45.00366607311197,61.53427638737759,64.17670419114509,55.76722338204593,24.57332612556954,11.383564832777218,16.71648987463838,11.93479422768573,15.634218289085547,45.40229885057471,31.67599186164802,91.5945071284877,45.53994588096991,42.4652703911689,41.62777975409321
2014-06-01,75.6588457689314,74.04748585990428,37.08037221720523,57.21658502449265,45.74154121329557,38.18322703701496,31.131263272685533,32.08550976978139,46.240231848056716,61.885390873717725,64.18779649926385,55.989405331510596,25.162987532883452,10.647785948990768,16.80249280920422,11.86877994839661,15.218047381922439,36.92409678488565,21.49236531259003,91.58875799588989,45.115054911370194,42.42628158844765,41.54013111662619
2014-09-01,76.38336735790266,72.5745030220452,36.177339901477836,64.80503843660276,45.61477382098171,35.43736964789596,31.283254190743175,31.289432176656153,47.04767757464024,60.00370336079992,64.35789204400102,55.007165890361875,24.116702355460383,13.859766525392223,17.050691244239633,11.83782649742998,14.998893070622094,42.54345837145471,27.385837193911318,91.50752190916617,44.893745366224394,42.6149731082286,41.68619581952994
2014-12-01,75.93622940295313,71.17793568236759,35.0334714695569,65.34467323187108,45.54844165257308,34.276144398957946,32.29078134738512,29.946952257031327,48.237283078912036,59.91739329967876,64.965500093243,56.43295354951796,24.251463092316406,14.514020049397065,17.12951936359739,11.888837040493597,15.04382933837704,43.55400696864111,28.968515347121592,91.53975835908963,45.017746742919734,42.99149469766175,42.09418896077403
2015-03-01,76.82450695765341,70.25220297781829,35.60720234790196,64.67784642541923,47.514039575431475,35.175635503245765,34.05735073828376,31.20478441207678,44.204606320299945,59.3368868009757,65.41258005631015,58.657066309444076,24.80342835848705,9.658739962940087,17.24871225367421,11.830311672438379,15.372972972972972,43.38719329742669,23.485383420420845,91.61747669222706,44.93639677918536,43.058584219393595,42.08080521114471
2015-06-01,76.22660098522167,68.37863844118355,34.409471089741004,64.8406636818541,46.65330781193923,31.861417322834644,29.877979889278052,31.315141178700017,47.8875320070908,62.32287449392713,65.06995133819952,56.19465431797871,25.298154196176288,10.95512082853855,17.115322244358985,11.685552407932011,14.693965362687797,42.874251497005986,29.512820512820515,91.62687215107445,44.55192977509021,42.89217329132873,41.919656458928564
2015-09-01,76.76917011630199,69.11204650230506,35.191721482432214,63.64619962131458,46.64617771677508,31.857133921311064,32.937365010799134,30.588015331401326,48.08268277114941,57.40842996502853,65.33684146117605,58.54317261100961,25.484673348452702,8.546943147907262,16.884399551066217,11.624894115302208,15.106367990983374,42.561983471074385,24.90530303030303,91.53941284009034,44.45869297163995,42.751748639946705,41.76600958490178
