date,industry,gva,gos,margin
2022-09-01,Total less mining,505731,209436,41.412529585886574
2022-09-01,Total less mi and ag,488425,195255,39.976454931668115
2022-12-01,"Agriculture, forestry and fishing",18419,15273,82.91981106466149
2022-12-01,Mining,90306,80053,88.64638008548712
2022-12-01,Manufacturing,33209,12957,39.01653166310338
2022-12-01,"Electricity, gas, water and waste services",12945,7798,60.23947470065663
2022-12-01,Construction,42170,17399,41.25918899691724
2022-12-01,Wholesale trade,24106,9413,39.0483697004895
2022-12-01,Retail trade,26482,8632,32.595725398383806
2022-12-01,Accommodation and food services,16003,5200,32.49390739236393
2022-12-01,"Transport, postal and warehousing",27393,13178,48.107180666593656
2022-12-01,Information media and telecommunications,12854,6296,48.980861988486076
2022-12-01,Financial and insurance services,43958,27332,62.17753309977706
2022-12-01,"Rental, hiring and real estate services",16160,8724,53.98514851485149
2022-12-01,"Professional, scientific and technical services",45513,11222,24.656691494737768
2022-12-01,Administrative and support services,21203,2519,11.88039428382776
2022-12-01,Public administration and safety,31053,5711,18.39113773226419
2022-12-01,Education and training,27808,3324,11.953394706559264
2022-12-01,Health care and social assistance,47247,6602,13.973373970834126
2022-12-01,Arts and recreation services,4628,1635,35.328435609334484
2022-12-01,Other services,9464,1902,20.09721048182587
2022-12-01,Ownership of dwellings,51080,46209,90.46397807361002
2022-12-01,Total,599664,289046,48.20132607593586
2022-12-01,Total less mining,509358,208993,41.0306699806423
2022-12-01,Total less mi and ag,490939,193720,39.459077400654664
2023-03-01,"Agriculture, forestry and fishing",15691,12500,79.66350137021222
2023-03-01,Mining,90766,80267,88.43289337417094
2023-03-01,Manufacturing,34264,13737,40.09164137286948
2023-03-01,"Electricity, gas, water and waste services",12893,7684,59.59823159854184
2023-03-01,Construction,42959,17527,40.799366838147996
2023-03-01,Wholesale trade,25894,10959,42.32254576349734
2023-03-01,Retail trade,26490,8325,31.42695356738392
2023-03-01,Accommodation and food services,15359,4512,29.376912559411423
2023-03-01,"Transport, postal and warehousing",27115,12783,47.14364742762309
2023-03-01,Information media and telecommunications,12965,6256,48.25298881604319
2023-03-01,Financial and insurance services,44686,27598,61.75983529517075
2023-03-01,"Rental, hiring and real estate services",15948,8366,52.45798846250314
2023-03-01,"Professional, scientific and technical services",46445,11542,24.850898912692433
2023-03-01,Administrative and support services,21713,2610,12.02044857919219
2023-03-01,Public administration and safety,31939,5851,18.31929615830176
2023-03-01,Education and training,28904,3290,11.382507611403266
2023-03-01,Health care and social assistance,48171,6479,13.450001037968903
2023-03-01,Arts and recreation services,4771,1693,35.48522322364284
2023-03-01,Other services,9704,1917,19.75474031327288
2023-03-01,Ownership of dwellings,52488,47455,90.41114159426917
2023-03-01,Total,611187,293384,48.00232989248789
2023-03-01,Total less mining,520421,213117,40.95088399584183
2023-03-01,Total less mi and ag,504730,200617,39.7473896934995
2023-06-01,"Agriculture, forestry and fishing",15134,11913,78.71679661688913
2023-06-01,Mining,78409,67528,86.12276651914958
2023-06-01,Manufacturing,35062,14187,40.462609092464774
2023-06-01,"Electricity, gas, water and waste services",13566,8220,60.59265811587793
2023-06-01,Construction,45478,19253,42.3347552662826
2023-06-01,Wholesale trade,25451,10101,39.688027975325134
2023-06-01,Retail trade,27983,9503,33.95990422756674
2023-06-01,Accommodation and food services,15209,4411,29.002564271155233
2023-06-01,"Transport, postal and warehousing",27741,13328,48.04441079989907
2023-06-01,Information media and telecommunications,13626,6832,50.139439307206814
2023-06-01,Financial and insurance services,45543,27884,61.22565487561206
2023-06-01,"Rental, hiring and real estate services",16509,8684,52.601611242352654
2023-06-01,"Professional, scientific and technical services",46726,11088,23.72982921713821
