date,Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Arts and recreation services,Other services,Total,Total ex mining
2008-03-01,42.173913043478265,9.695899468183406,23.914616497829233,6.0294356073571,5.254569536423841,4.356435643564356,6.983034177526433,13.42629649913637,29.181597503178825,15.579679416504113,26.34483675776315,2.8751439171037485,4.248960498960499,13.79110251450677,6.560166367331506,10.767384727594989,8.618663471388082
2008-06-01,50.054182362351,10.063595653153817,23.798303487276154,6.228333908357567,5.5637616937469225,4.10534069029682,7.573993504503952,13.080064348471723,28.327228327228326,16.385378678653208,22.49130572241543,2.196161383643886,2.9963016360559145,12.574390478018813,6.687640449438202,11.486238875177623,8.472994383992969
2008-09-01,51.576041599794564,8.97220414071836,24.406511417589872,6.302407357316743,5.659896666632698,4.136574220981151,7.373216640690565,11.987368766404199,27.875769118077937,15.775010734220697,23.89572773352643,3.0629982617035303,2.9269801980198022,12.686165440516778,6.340157208257752,11.994426548039065,8.301438511375322
2008-12-01,51.520252274518995,7.781353716182239,23.311970702677957,5.684845086218982,4.934299577268279,4.116664134892907,6.826951617690709,11.903576466683264,27.98716452742124,14.447839371453513,24.185394969242953,2.982566687670657,0.2664298401420959,12.968917470525188,6.688091722400764,11.548937277051131,7.730604286118456
2009-03-01,49.56364529160994,6.3901164478565216,22.956555544756537,6.97129568567561,4.788696911804841,4.508956145768994,6.936746471630192,12.833951169628019,27.569480111852997,13.706739526411656,24.21330925973691,2.9413557668861254,0.17190400880148526,13.872730477701392,6.847935548841893,11.244383476745988,7.700453514271147
2009-06-01,43.82506033906191,7.211894292307022,23.997895844292476,5.343894484068672,5.038888948653679,4.890858362054817,7.011113050561471,15.0130438441471,27.93551063955901,12.691344280545506,25.13509768601912,2.401906857352402,2.852525820276821,15.954265611257695,6.371650519333159,10.340905976816202,7.924278833541456
2009-09-01,40.22244987560369,7.585089488819263,23.735865158950286,6.973982702396143,4.1090519936001355,4.672412265714973,6.387769613652525,13.943102877935825,28.058861464501376,10.084862837971185,26.234941678883295,5.454545454545454,4.39530624703249,14.907262957184955,6.269279622573036,10.27588979947825,8.147228082439737
2009-12-01,39.36791383219955,8.24211272223456,22.527361167409808,7.188467321128504,5.605915034044864,4.5376042145546265,7.834101382488479,14.522721808126954,27.074948964712743,7.1346012398865195,24.659270998415213,5.859480154338527,5.180762852404643,15.350409107079333,9.71770292850233,10.693233405038773,8.616910358189594
2010-03-01,41.98082227768291,9.213829418127641,21.81619038136015,6.207039123468913,5.096889927202186,4.371966465656714,7.205890947343814,14.916934515741781,27.727194640096204,8.061025752001731,23.246191461350385,6.85696014882423,4.4480519480519485,16.030113845023873,8.305647840531561,10.9577520715645,8.576107585044097
2010-06-01,50.61142281686089,9.770763282696079,22.807731434384536,7.85500487837145,4.503688092729188,4.346497126788116,7.534046408323104,14.622531032867514,29.186765790817777,7.241043402965689,22.888792084137158,6.324033009599731,4.139145750770585,17.32366978964115,7.911814383500755,12.508409791585034,8.743061747150062
