"","date","value","bn"
"109",2011-12-01,4770715.3945,-0.170882719422091
"110",2012-03-01,4774396.2666,-0.463644159013039
"111",2012-06-01,4779968.041,-0.6361070044953
"112",2012-09-01,4774674.0961,-0.963535810817034
"113",2012-12-01,4787178.265,-0.890560958038746
"114",2013-03-01,4797979.7391,-0.832081265438459
"115",2013-06-01,4817270.0012,-0.616521185474198
"116",2013-09-01,4837098.5224,-0.440302014756666
"117",2013-12-01,4807872.6376,-1.17317516745587
"118",2014-03-01,4811351.9014,-1.17835293008919
"119",2014-06-01,4835613.0315,-0.783172332740304
"120",2014-09-01,4840204.3381,-0.809774138802736
"121",2014-12-01,4825004.3082,-1.16287184680351
"122",2015-03-01,4892756.8477,0.018019600439569
"123",2015-06-01,4900837.4077,-0.0921313559150595
"124",2015-09-01,4922583.0779,0.0282305246043006
"125",2015-12-01,4958214.7027,0.3446612863645
"126",2016-03-01,4981949.5897,0.342653058820963
"127",2016-06-01,4947767.8481,-0.653887928273325
"128",2016-09-01,4982096.7859,-0.265147677442664
"129",2016-12-01,5005833.0209,-0.0867737060830225
"130",2017-03-01,5049910.8752,0.397053795887946
"131",2017-06-01,5091787.8672,0.75743676559653
"132",2017-09-01,5121671.9422,0.793518077808428
"133",2017-12-01,5168663.7029,1.07971515671535
"134",2018-03-01,5162068.9199,0.375990747300966
"135",2018-06-01,5203395.9014,0.61900943549909
"136",2018-09-01,5221598.1622,0.442367187203981
"137",2018-12-01,5246859.9016,0.432338454145006
"138",2019-03-01,5306713.6656,0.995927899871084
"139",2019-06-01,5295264.2291,0.283360637063859
"140",2019-09-01,5315269.3331,0.192895844215418
"141",2019-12-01,5325400.6453,-0.0414948299366663
"142",2020-03-01,5312825.7248,-0.579591933621447
"143",2020-06-01,4838596.0374,-8.70408526689674
"144",2020-09-01,5043681.4179,-3.48555819401967
"145",2020-12-01,5201828.115,0.0617124667696481
"146",2021-03-01,5275107.3959,1.4453446680365
"147",2021-06-01,5339390.6428,2.29316745992815
"148",2021-09-01,5195853.7097,-0.760207662259638
"149",2021-12-01,5331459.8859,1.2295959696281
"150",2022-03-01,5366552.4283,1.15423500782741
"151",2022-06-01,5521203.9225,3.03185353170382
"152",2022-09-01,5593650.2799,3.12187936360515
"153",2022-12-01,5709726.0975,3.73692376329658
"154",2023-03-01,5771857.0219,3.31631413653386
"155",2023-06-01,5854915.4232,3.22394736550218
"156",2023-09-01,5794712.1071,0.962273435730858
"157",2023-12-01,5759380.8627,-0.489006916145308
"158",2024-03-01,5796063.9259,-0.392446908524161
"159",2024-06-01,5827236.8219,-0.305237505452755
"160",2024-09-01,5868890.247,0.064312328798086
"161",2024-12-01,5910685.3905,0.296875752542071
"162",2025-03-01,5923754.8813,0.0551086315590053
"163",2025-06-01,5945692.9959,-0.0770348523313798
"164",2025-09-01,5948327.1712,-0.447829645414107
"165",2025-12-01,5983525.7549,-0.284601144387728
"166",2026-03-01,6034502.6485,0.0977928778573209
