"","date","industry","gva","gos","margin"
"390",2006-09-01,"Total less mining",222786,94364,42.3563419604464
"391",2006-09-01,"Total less mi and ag",216626,90055,41.5716488325501
"392",2006-12-01,"Agriculture, forestry and fishing",6027,4269,70.8312593330015
"393",2006-12-01,"Mining",18980,15566,82.0126448893572
"394",2006-12-01,"Manufacturing",24908,10268,41.2237032278786
"395",2006-12-01,"Electricity, gas, water and waste services",6863,4610,67.1717907620574
"396",2006-12-01,"Construction",19163,9205,48.0352763137296
"397",2006-12-01,"Wholesale trade",11483,3919,34.1287120090569
"398",2006-12-01,"Retail trade",12946,4480,34.6052834852464
"399",2006-12-01,"Accommodation and food services",6485,2075,31.9969159599075
"400",2006-12-01,"Transport, postal and warehousing",13860,6547,47.2366522366522
"401",2006-12-01,"Information media and telecommunications",7249,4452,61.4153676369154
"402",2006-12-01,"Financial and insurance services",21116,11979,56.7294942223906
"403",2006-12-01,"Rental, hiring and real estate services",6578,3135,47.6588628762542
"404",2006-12-01,"Professional, scientific and technical services",15195,2754,18.1243830207305
"405",2006-12-01,"Administrative and support services",8713,1321,15.1612532996672
"406",2006-12-01,"Public administration and safety",14451,2509,17.3621202684935
"407",2006-12-01,"Education and training",11992,1617,13.4839893262175
"408",2006-12-01,"Health care and social assistance",14867,2246,15.1072845900316
"409",2006-12-01,"Arts and recreation services",2234,815,36.4816472694718
"410",2006-12-01,"Other services",4807,1381,28.7289369669232
"411",2006-12-01,"Ownership of dwellings",20333,18560,91.2801849210643
"412",2006-12-01,"Total",248890,112341,45.1368074249669
"413",2006-12-01,"Total less mining",229910,96775,42.0925579574616
"414",2006-12-01,"Total less mi and ag",223883,92506,41.3189031771059
"415",2007-03-01,"Agriculture, forestry and fishing",5986,4217,70.4477113264283
"416",2007-03-01,"Mining",18358,14924,81.2942586338381
"417",2007-03-01,"Manufacturing",25192,10376,41.1876786281359
"418",2007-03-01,"Electricity, gas, water and waste services",6373,4090,64.1769967048486
"419",2007-03-01,"Construction",19553,9006,46.0594282207334
