"","date","industry","gop","sales","margin"
"243",2006-03-01,"Wholesale trade",4126,79239,5.20703189086182
"244",2006-03-01,"Retail trade",2428,69640,3.48650201033889
"245",2006-03-01,"Accommodation and food services",931,14416,6.45810210876803
"246",2006-03-01,"Transport, postal and warehousing",2472,19481,12.6892869975874
"247",2006-03-01,"Information media and telecommunications",1721,9712,17.7203459637562
"248",2006-03-01,"Financial and insurance services",1979,9368,21.1251067463706
"249",2006-03-01,"Rental, hiring and real estate services",2615,11763,22.230723454901
"250",2006-03-01,"Professional, scientific and technical services",610,25653,2.37788952559155
"251",2006-03-01,"Administrative and support services",442,11569,3.82055493128187
"252",2006-03-01,"Arts and recreation services",788,4504,17.4955595026643
"253",2006-03-01,"Other services",601,9689,6.20291051708123
"254",2006-03-01,"Total",42705,423222,10.090448984221
"255",2006-03-01,"Total less mining",30460,397280,7.66713652839307
"256",2006-06-01,"Mining",14626,28567,51.1989358350544
"257",2006-06-01,"Manufacturing",7964,85966,9.26412767838448
"258",2006-06-01,"Electricity, gas, water and waste services",1438,5995,23.9866555462886
"259",2006-06-01,"Construction",2354,42651,5.51921408642236
"260",2006-06-01,"Wholesale trade",4219,80547,5.23793561523086
"261",2006-06-01,"Retail trade",2460,70748,3.4771300955504
"262",2006-06-01,"Accommodation and food services",967,14640,6.6051912568306
"263",2006-06-01,"Transport, postal and warehousing",2571,19975,12.8710888610763
"264",2006-06-01,"Information media and telecommunications",1840,9855,18.6707255200406
"265",2006-06-01,"Financial and insurance services",1643,9298,17.6704667670467
"266",2006-06-01,"Rental, hiring and real estate services",2977,12066,24.6726338471739
"267",2006-06-01,"Professional, scientific and technical services",633,26104,2.42491572172847
"268",2006-06-01,"Administrative and support services",454,12090,3.75516956162117
"269",2006-06-01,"Arts and recreation services",717,4604,15.5734144222415
"270",2006-06-01,"Other services",627,9865,6.35580334515966
"271",2006-06-01,"Total",45492,432971,10.5069392638306
"272",2006-06-01,"Total less mining",30866,404404,7.63246654335763
"273",2006-09-01,"Mining",14014,29652,47.261567516525
"274",2006-09-01,"Manufacturing",8551,86740,9.85819691030666
"275",2006-09-01,"Electricity, gas, water and waste services",1473,5977,24.6444704701355
"276",2006-09-01,"Construction",2166,44004,4.92227979274611
"277",2006-09-01,"Wholesale trade",4350,83228,5.22660643052819
"278",2006-09-01,"Retail trade",2521,69021,3.65251155445444
"279",2006-09-01,"Accommodation and food services",1009,14769,6.83187758142054
"280",2006-09-01,"Transport, postal and warehousing",2797,20820,13.4341978866475
"281",2006-09-01,"Information media and telecommunications",2018,10083,20.0138847565209
"282",2006-09-01,"Financial and insurance services",1778,9908,17.94509487283
"283",2006-09-01,"Rental, hiring and real estate services",2785,12303,22.636755262944
"284",2006-09-01,"Professional, scientific and technical services",619,26260,2.35719725818736
"285",2006-09-01,"Administrative and support services",390,12247,3.18445333551074
"286",2006-09-01,"Arts and recreation services",708,4482,15.7965194109772
"287",2006-09-01,"Other services",616,9874,6.2386064411586
"288",2006-09-01,"Total",45794,439368,10.4226980572094
"289",2006-09-01,"Total less mining",31780,409716,7.7565923713011
"290",2006-12-01,"Mining",13429,28829,46.5815671719449
"291",2006-12-01,"Manufacturing",8711,88373,9.85708304572664
"292",2006-12-01,"Electricity, gas, water and waste services",1579,6066,26.0303330036268
"293",2006-12-01,"Construction",2600,46970,5.53544815839898
"294",2006-12-01,"Wholesale trade",4360,85116,5.1224211664082
